Compound_code	Lower_99_Interval	Lower_95_Interval	Sim_Median	Upper_95_Interval	Upper_99_Interval
C00189	-5.184	-4.975	-3.857	-2.739	-2.53
C00186	0.0	0.0	0.0	0.0	0.0
C00185	-5.289	-5.187	-4.644	-4.101	-3.999
C00183	3.999	4.101	4.644	5.187	5.289
C00180	-5.289	-5.187	-4.644	-4.101	-3.999
C00181	-3.543	-3.325	-2.161	-0.997	-0.779
C02909	5.425	5.473	5.728	5.983	6.031
C00159	5.341	5.389	5.644	5.899	5.947
C04216	-5.289	-5.187	-4.644	-4.101	-3.999
C04051	-5.289	-5.187	-4.644	-4.101	-3.999
C00011	-5.233	-4.999	-3.7535	-2.508	-2.274
C04352	-1.733	-1.459	0.0	1.459	1.733
C02553	-5.289	-5.187	-4.644	-4.101	-3.999
C16348	0.351	0.612	2.0	3.388	3.649
C02946	-5.289	-5.187	-4.644	-4.101	-3.999
C16586	3.999	4.101	4.644	5.187	5.289
C05378	-3.168	-2.951	-1.7925	-0.634	-0.417
C00015	-2.512	-2.274	-1.0	0.274	0.512
C05100	-5.289	-5.187	-4.644	-4.101	-3.999
C06148	0.0	0.0	0.0	0.0	0.0
C00151	3.999	4.101	4.644	5.187	5.289
C05823	-5.289	-5.187	-4.644	-4.101	-3.999
C02988	-5.289	-5.187	-4.644	-4.101	-3.999
C16551	-5.289	-5.187	-4.644	-4.101	-3.999
C06715	3.999	4.101	4.644	5.187	5.289
C06714	-5.289	-5.187	-4.644	-4.101	-3.999
C16466	-5.289	-5.187	-4.644	-4.101	-3.999
C16219	-2.956	-2.739	-1.585	-0.431	-0.214
C09306	-5.289	-5.187	-4.644	-4.101	-3.999
C00254	0.075	0.346	1.7925	3.239	3.51
C16237	-5.289	-5.187	-4.644	-4.101	-3.999
C00931	3.999	4.101	4.644	5.187	5.289
C04327	-4.149	-3.937	-2.807	-1.677	-1.465
C16238	0.0	0.0	0.0	0.0	0.0
C18239	-6.18	-6.135	-5.895	-5.655	-5.61
C00446	3.999	4.101	4.644	5.187	5.289
C00445	-0.484	-0.25	1.0	2.25	2.484
C01762	5.514	5.568	5.858	6.148	6.202
C00441	-3.797	-3.564	-2.322	-1.08	-0.847
C00440	0.717	0.991	2.4535	3.916	4.19
C04281	0.0	0.0	0.0	0.0	0.0
C00526	-1.843	-1.631	-0.5	0.631	0.843
C00527	-5.289	-5.187	-4.644	-4.101	-3.999
C11453	0.719	0.946	2.161	3.376	3.603
C00522	-0.231	0.01	1.2925	2.575	2.816
C00448	0.281	0.52	1.7925	3.065	3.304
C04882	1.614	1.833	3.0	4.167	4.386
C01024	-5.289	-5.187	-4.644	-4.101	-3.999
C12739	-5.289	-5.187	-4.644	-4.101	-3.999
C00009	-5.289	-5.187	-4.644	-4.101	-3.999
C01909	0.0	0.0	0.0	0.0	0.0
C00068	0.757	1.025	2.4535	3.882	4.15
C04133	0.374	0.598	1.7925	2.987	3.211
C03838	-2.658	-2.442	-1.2925	-0.143	0.073
C00288	5.364	5.408	5.644	5.88	5.924
C03722	-3.823	-3.607	-2.4535	-1.3	-1.084
C05402	-5.289	-5.187	-4.644	-4.101	-3.999
C04619	-3.757	-3.53	-2.322	-1.114	-0.887
C05404	-5.289	-5.187	-4.644	-4.101	-3.999
C03939	-3.743	-3.493	-2.161	-0.829	-0.579
C00054	-5.289	-5.187	-4.644	-4.101	-3.999
C04039	-3.531	-3.315	-2.161	-1.007	-0.791
C00627	-5.289	-5.187	-4.644	-4.101	-3.999
C00459	5.092	5.142	5.409	5.676	5.726
C01228	-5.289	-5.187	-4.644	-4.101	-3.999
C00239	0.0	0.0	0.0	0.0	0.0
C00725	3.999	4.101	4.644	5.187	5.289
C00231	-1.532	-1.29	0.0	1.29	1.532
C00232	-2.644	-2.384	-1.0	0.384	0.644
C00233	-5.289	-5.187	-4.644	-4.101	-3.999
C00234	-0.504	-0.267	1.0	2.267	2.504
C00235	0.559	0.786	2.0	3.214	3.441
C01613	3.999	4.101	4.644	5.187	5.289
C00237	-0.203	0.079	1.585	3.091	3.373
C00010	-4.141	-3.93	-2.807	-1.684	-1.473
C00158	0.0	0.0	0.0	0.0	0.0
C00012	3.999	4.101	4.644	5.187	5.289
C00014	2.782	3.007	4.209	5.411	5.636
C05980	-5.289	-5.187	-4.644	-4.101	-3.999
C00016	0.0	0.0	0.0	0.0	0.0
C00018	-5.289	-5.187	-4.644	-4.101	-3.999
C00019	-1.486	-1.251	0.0	1.251	1.486
C00153	-6.101	-6.055	-5.807	-5.559	-5.513
C00152	0.88	1.108	2.322	3.536	3.764
C00155	0.958	1.173	2.322	3.471	3.686
C02835	-5.289	-5.187	-4.644	-4.101	-3.999
C05714	3.999	4.101	4.644	5.187	5.289
C05715	3.999	4.101	4.644	5.187	5.289
C05711	-5.289	-5.187	-4.644	-4.101	-3.999
C02713	3.999	4.101	4.644	5.187	5.289
C02336	-2.958	-2.742	-1.585	-0.428	-0.212
C14108	-5.289	-5.187	-4.644	-4.101	-3.999
C02331	0.0	0.0	0.0	0.0	0.0
C00058	0.584	0.807	2.0	3.193	3.416
C06320	0.0	0.0	0.0	0.0	0.0
C04620	-3.757	-3.53	-2.322	-1.114	-0.887
C00655	0.715	0.943	2.161	3.379	3.607
C00301	3.999	4.101	4.644	5.187	5.289
C00302	-5.289	-5.187	-4.644	-4.101	-3.999
C00718	-2.08	-1.83	-0.5	0.83	1.08
C02232	-5.289	-5.187	-4.644	-4.101	-3.999
C14089	5.425	5.473	5.728	5.983	6.031
C14107	3.999	4.101	4.644	5.187	5.289
C14086	3.999	4.101	4.644	5.187	5.289
C14087	-5.289	-5.187	-4.644	-4.101	-3.999
C17551	-5.289	-5.187	-4.644	-4.101	-3.999
C17556	-4.179	-3.963	-2.807	-1.651	-1.435
C04442	-3.355	-3.108	-1.7925	-0.477	-0.23
C01127	3.999	4.101	4.644	5.187	5.289
C06188	-3.54	-3.323	-2.161	-0.999	-0.782
C05665	3.999	4.101	4.644	5.187	5.289
C03058	3.999	4.101	4.644	5.187	5.289
C06186	5.493	5.538	5.781	6.024	6.069
C06187	-1.35	-1.137	0.0	1.137	1.35
C18902	3.999	4.101	4.644	5.187	5.289
C03294	-5.289	-5.187	-4.644	-4.101	-3.999
C02051	1.245	1.457	2.585	3.713	3.925
C03114	3.999	4.101	4.644	5.187	5.289
C06611	0.0	0.0	0.0	0.0	0.0
C06612	0.0	0.0	0.0	0.0	0.0
C04088	-5.289	-5.187	-4.644	-4.101	-3.999
C06614	0.0	0.0	0.0	0.0	0.0
C06615	0.0	0.0	0.0	0.0	0.0
C06755	0.0	0.0	0.0	0.0	0.0
C06754	0.0	0.0	0.0	0.0	0.0
C00979	5.295	5.364	5.728	6.092	6.161
C00877	-1.802	-1.517	0.0	1.517	1.802
C16273	1.912	2.123	3.246	4.369	4.58
C16272	5.593	5.639	5.883	6.127	6.173
C04246	0.418	0.635	1.7925	2.95	3.167
C00409	-5.289	-5.187	-4.644	-4.101	-3.999
C03373	-1.358	-1.143	0.0	1.143	1.358
C16074	3.999	4.101	4.644	5.187	5.289
C04778	-0.214	0.024	1.2925	2.561	2.799
C00407	3.999	4.101	4.644	5.187	5.289
C01401	-5.289	-5.187	-4.644	-4.101	-3.999
C01151	-5.289	-5.187	-4.644	-4.101	-3.999
C06056	-5.289	-5.187	-4.644	-4.101	-3.999
C06506	0.0	0.0	0.0	0.0	0.0
C06055	3.999	4.101	4.644	5.187	5.289
C03479	3.999	4.101	4.644	5.187	5.289
C01412	3.999	4.101	4.644	5.187	5.289
C06114	-5.289	-5.187	-4.644	-4.101	-3.999
C06508	-0.384	-0.166	1.0	2.166	2.384
C06509	-1.652	-1.391	0.0	1.391	1.652
C09332	-5.289	-5.187	-4.644	-4.101	-3.999
C06032	0.494	0.732	2.0	3.268	3.506
C01157	0.0	0.0	0.0	0.0	0.0
C02576	3.999	4.101	4.644	5.187	5.289
C03972	-3.391	-3.138	-1.7925	-0.447	-0.194
C03974	-5.289	-5.187	-4.644	-4.101	-3.999
C00577	1.315	1.533	2.696	3.859	4.077
C01300	-0.348	-0.135	1.0	2.135	2.348
C00279	1.14	1.347	2.4535	3.56	3.767
C13632	0.0	0.0	0.0	0.0	0.0
C01304	-0.37	-0.154	1.0	2.154	2.37
C01801	3.999	4.101	4.644	5.187	5.289
C00275	3.032	3.241	4.357	5.473	5.682
C00270	3.999	4.101	4.644	5.187	5.289
C00900	-4.186	-3.968	-2.807	-1.646	-1.428
C00479	3.999	4.101	4.644	5.187	5.289
C00475	-0.511	-0.226	1.2925	2.811	3.096
C12215	-5.289	-5.187	-4.644	-4.101	-3.999
C12214	3.999	4.101	4.644	5.187	5.289
C00294	-0.345	-0.132	1.0	2.132	2.345
C00295	0.0	0.0	0.0	0.0	0.0
C00357	0.75	0.973	2.161	3.349	3.572
C05698	-3.727	-3.505	-2.322	-1.139	-0.917
C01267	-3.475	-3.21	-1.7925	-0.375	-0.11
C00353	-5.289	-5.187	-4.644	-4.101	-3.999
C00352	-3.673	-3.459	-2.322	-1.185	-0.971
C00299	-0.201	0.081	1.585	3.089	3.371
C02166	3.999	4.101	4.644	5.187	5.289
C04666	-3.694	-3.478	-2.322	-1.166	-0.95
C01269	0.233	0.479	1.7925	3.106	3.352
C05979	-5.289	-5.187	-4.644	-4.101	-3.999
C05898	-5.289	-5.187	-4.644	-4.101	-3.999
C05893	-5.289	-5.187	-4.644	-4.101	-3.999
C05892	3.999	4.101	4.644	5.187	5.289
C05596	-5.289	-5.187	-4.644	-4.101	-3.999
C01279	-4.456	-4.24	-3.085	-1.93	-1.714
C04046	0.0	0.0	0.0	0.0	0.0
C05382	-3.897	-3.648	-2.322	-0.996	-0.747
C00120	-4.504	-4.267	-3.0	-1.733	-1.496
C00121	3.999	4.101	4.644	5.187	5.289
C00122	-3.19	-2.89	-1.2925	0.305	0.605
C00123	3.999	4.101	4.644	5.187	5.289
C00129	-0.168	0.062	1.2925	2.523	2.753
C15532	3.999	4.101	4.644	5.187	5.289
C00356	0.0	0.0	0.0	0.0	0.0
C11934	-5.289	-5.187	-4.644	-4.101	-3.999
C15973	5.713	5.758	6.0	6.242	6.287
C03028	-5.289	-5.187	-4.644	-4.101	-3.999
C05749	-0.081	0.136	1.2925	2.449	2.666
C20589	-5.855	-5.808	-5.555	-5.302	-5.255
C05747	-2.365	-2.149	-1.0	0.149	0.365
C05746	-2.956	-2.739	-1.585	-0.431	-0.214
C05745	-0.081	0.136	1.2925	2.449	2.666
C05744	-0.134	0.092	1.2925	2.493	2.719
C03150	5.513	5.559	5.807	6.055	6.101
C04618	-3.281	-3.046	-1.7925	-0.539	-0.304
C02091	-5.289	-5.187	-4.644	-4.101	-3.999
C00726	3.999	4.101	4.644	5.187	5.289
C00055	0.0	0.0	0.0	0.0	0.0
C03539	-2.377	-2.16	-1.0	0.16	0.377
C00199	-3.183	-2.964	-1.7925	-0.621	-0.402
C00051	3.999	4.101	4.644	5.187	5.289
C00052	-2.528	-2.287	-1.0	0.287	0.528
C00194	-6.157	-6.108	-5.8455	-5.583	-5.534
C00197	2.263	2.481	3.6425	4.804	5.022
C03785	-4.34	-4.129	-3.0	-1.871	-1.66
C02714	-5.289	-5.187	-4.644	-4.101	-3.999
C00192	3.999	4.101	4.644	5.187	5.289
C00354	-0.819	-0.532	1.0	2.532	2.819
C01118	0.0	0.0	0.0	0.0	0.0
C01050	0.579	0.803	2.0	3.197	3.421
C04574	0.399	0.619	1.7925	2.966	3.186
C05130	3.999	4.101	4.644	5.187	5.289
C00206	1.785	2.004	3.17	4.336	4.555
C06156	0.0	0.0	0.0	0.0	0.0
C04807	-0.094	0.125	1.2925	2.46	2.679
C20423	-3.706	-3.488	-2.322	-1.156	-0.938
C20422	2.291	2.505	3.6425	4.78	4.994
C03492	1.18	1.402	2.585	3.768	3.99
C02457	-5.289	-5.187	-4.644	-4.101	-3.999
C06010	-3.932	-3.698	-2.4535	-1.209	-0.975
C00831	3.999	4.101	4.644	5.187	5.289
