KO_code	Transcripts
K02121	12.0
K01619	4.0
K02124	16.0
K09861	1.0
K03833	3.0
K00068	1.0
K00145	0.0
K00917	0.0
K03547	2.0
K03546	1.0
K03545	23.0
K03544	18.0
K02834	4.0
K07160	8.0
K13038	9.0
K06888	1.0
K03424	7.0
K13789	4.0
K07001	7.0
K07007	1.0
K00694	1.0
K07005	6.0
K01151	4.0
K03752	5.0
K03753	3.0
K03750	4.0
K05337	38.0
K03617	20.0
K03616	35.0
K03615	39.0
K03614	29.0
K03613	16.0
K03612	34.0
K02385	15.0
K03610	18.0
K09707	5.0
K05823	5.0
K01938	41.0
K09703	2.0
K02233	4.0
K02231	8.0
K02337	6.0
K02335	2.0
K06147	9.0
K02238	0.0
K00525	3.0
K00526	0.0
K00527	8.0
K01839	5.0
K02519	11.0
K15524	0.0
K07047	1.0
K01835	12.0
K16899	1.0
K00286	26.0
K00528	27.0
K11069	2.0
K00283	3.0
K00282	1.0
K03723	1.0
K03722	0.0
K09696	1.0
K04069	11.0
K04068	9.0
K02188	2.0
K04066	0.0
K03685	3.0
K03686	8.0
K02619	0.0
K09888	17.0
K00847	1.0
K07729	2.0
K00845	2.0
K04486	2.0
K01531	6.0
K04720	2.0
K01534	2.0
K00179	41.0
K01537	7.0
K07301	0.0
K00797	1.0
K06393	0.0
K06395	0.0
K06394	0.0
K06397	0.0
K09913	14.0
K06399	0.0
K06207	4.0
K01448	46.0
K14218	8.0
K01736	3.0
K01487	1.0
K05936	3.0
K06390	0.0
K02904	10.0
K00793	0.0
K02906	23.0
K02907	14.0
K01929	2.0
K15739	0.0
K15738	1.0
K01881	20.0
K01928	3.0
K01886	9.0
K01887	8.0
K08591	4.0
K15634	1.0
K02961	18.0
K16651	1.0
K15633	8.0
K01222	5.0
K01223	10.0
K00858	5.0
K04485	7.0
K02759	9.0
K01269	3.0
K02755	4.0
K02757	4.0
K03688	1.0
K02750	0.0
K01011	11.0
K01159	1.0
K01923	12.0
K00939	11.0
K00936	6.0
K00174	124.0
K00627	0.0
K00626	9.0
K00839	13.0
K06896	0.0
K06897	0.0
K02804	7.0
K06898	3.0
K02965	16.0
K01934	4.0
K02992	41.0
K02806	0.0
K01126	0.0
K01749	3.0
K02994	16.0
K06714	3.0
K01924	10.0
K09963	0.0
K11071	1.0
K15986	17.0
K07173	10.0
K02470	7.0
K05311	6.0
K01958	34.0
K02838	30.0
K02477	1.0
K02478	3.0
K03574	3.0
K01270	28.0
K03572	2.0
K03570	8.0
K01265	22.0
K00930	0.0
K01714	18.0
K01715	6.0
K01652	0.0
K02909	40.0
K02874	26.0
K02876	18.0
K03976	0.0
K03977	8.0
K03168	5.0
K00656	22.0
K00657	1.0
K03978	4.0
K00655	2.0
K02878	24.0
K02879	19.0
K00651	2.0
K02083	3.0
K07281	16.0
K02050	1.0
K02051	7.0
K02437	53.0
K06436	7.0
K08217	0.0
K06438	0.0
K02191	2.0
K02190	2.0
K07533	12.0
K00767	4.0
K02372	7.0
K02371	6.0
K03719	30.0
K00088	19.0
K00086	5.0
K03710	9.0
K02038	0.0
K03716	4.0
K03602	0.0
K01870	9.0
K01873	10.0
K09748	1.0
K01875	11.0
K02902	24.0
K16850	1.0
K06023	5.0
K02009	3.0
K03481	0.0
K03486	2.0
K03484	3.0
K06024	4.0
K06416	17.0
K04023	0.0
K09779	0.0
K04026	0.0
K04029	2.0
K04028	0.0
K13292	0.0
K01977	480.0
K03110	6.0
K00019	0.0
K03475	0.0
K03522	107.0
K07050	3.0
K07053	0.0
K03470	2.0
K03525	13.0
K00012	4.0
K04562	11.0
K00014	1.0
K07058	0.0
K00016	4.0
K03524	0.0
K03154	0.0
K03624	11.0
K03625	2.0
K03150	11.0
K06410	0.0
K03621	6.0
K06411	1.0
K03091	12.0
K03090	5.0
K01791	0.0
K03092	4.0
K02304	0.0
K02003	5.0
K07813	1.0
K03803	20.0
K03478	6.0
K01226	5.0
K03399	1.0
K02343	4.0
K01874	9.0
K00278	6.0
K02078	30.0
K03652	5.0
K04096	1.0
K03650	4.0
K03657	8.0
K03654	0.0
K07030	18.0
K00575	1.0
K00574	7.0
K01304	1.0
K02039	0.0
K00971	2.0
K00975	17.0
K00974	0.0
K02650	2.0
K02653	3.0
K02654	2.0
K02800	1.0
K02189	3.0
K11741	1.0
K06909	0.0
K00878	0.0
K07636	1.0
K07149	0.0
K00873	5.0
K00876	1.0
K00874	0.0
K00052	0.0
K04487	17.0
K02956	37.0
K06201	0.0
K02954	15.0
K07085	2.0
K14652	0.0
K14228	0.0
K14229	33.0
K14227	1.0
K14225	8.0
K02959	20.0
K04488	8.0
K03671	17.0
K11636	0.0
K00882	0.0
K01271	47.0
K11635	0.0
K00674	13.0
K01754	13.0
K06978	1.0
K01756	16.0
K02756	4.0
K01750	8.0
K00566	4.0
K01752	9.0
K07979	6.0
K02005	9.0
K02004	7.0
K02007	4.0
K02006	2.0
K01759	12.0
K01693	1.0
K01409	5.0
K07082	3.0
K00759	18.0
K00611	0.0
K00616	26.0
K06871	4.0
K01591	3.0
K06950	8.0
K07088	5.0
K07089	13.0
K01464	0.0
K00756	1.0
K01878	17.0
K07574	8.0
K00837	127.0
K08600	0.0
K08602	6.0
K07056	1.0
K03703	3.0
K14138	38.0
K09762	13.0
K11189	22.0
K06379	8.0
K06378	7.0
K02414	8.0
K08070	3.0
K06374	0.0
K06373	0.0
K02499	11.0
K05515	8.0
K02500	1.0
K02501	1.0
K02502	0.0
K07496	6.0
K07491	2.0
K14170	0.0
K06942	5.0
K01810	8.0
K02968	24.0
K07240	15.0
K00691	1.0
K01624	34.0
K01939	9.0
K01628	0.0
K11203	14.0
K11202	10.0
K04763	2.0
K00561	86.0
K00620	0.0
K00058	7.0
K00059	7.0
K06971	1.0
K00057	10.0
K12941	3.0
K00359	10.0
K12942	0.0
K07150	12.0
K00688	11.0
K03530	47.0
K03531	28.0
K03536	4.0
K03537	0.0
K00681	8.0
K00680	0.0
K02825	5.0
K07012	5.0
K02823	4.0
K02822	0.0
K01056	2.0
K09685	3.0
K03210	34.0
K03217	23.0
K03216	5.0
K03215	1.0
K03742	3.0
K03312	0.0
K03660	5.0
K03218	6.0
K03666	29.0
K03687	9.0
K03664	18.0
K12267	5.0
K09772	32.0
K09773	50.0
K05833	4.0
K06158	1.0
K02221	16.0
K05837	8.0
K06015	1.0
K02342	3.0
K00133	7.0
K03581	0.0
K02341	2.0
K02346	5.0
K04074	9.0
K02379	8.0
K07238	0.0
K01808	5.0
K01809	3.0
K03695	6.0
K00537	3.0
K04041	26.0
K03498	4.0
K07038	0.0
K00615	49.0
K01803	10.0
K06012	0.0
K01805	0.0
K02950	39.0
K00128	1.0
K03324	9.0
K05832	2.0
K09770	13.0
K03809	3.0
K03060	19.0
K05340	1.0
K01243	3.0
K01751	0.0
K02232	2.0
K14188	4.0
K00943	1.0
K00366	0.0
K02348	1.0
K03106	13.0
K03101	1.0
K03100	16.0
K01985	4.0
K02919	5.0
K04759	16.0
K02913	25.0
K00928	8.0
K02911	33.0
K02916	40.0
K02914	26.0
K00995	1.0
K01239	9.0
K02990	39.0
K16787	6.0
K16786	7.0
K16785	4.0
K15583	51.0
K00226	3.0
K01843	16.0
K01893	11.0
K00013	2.0
K00548	3.0
K02996	36.0
K02768	49.0
K02769	62.0
K02687	2.0
K01735	1.0
K01142	9.0
K02760	17.0
K00991	1.0
K00981	3.0
K02763	17.0
K02764	8.0
K02765	8.0
K07738	2.0
K00948	21.0
K06217	2.0
K00821	0.0
K00820	38.0
K00823	25.0
K02400	12.0
K03601	1.0
K00941	0.0
K00945	2.0
K06333	1.0
K01620	10.0
K01091	3.0
K01090	4.0
K06889	12.0
K11070	0.0
K11749	9.0
K08884	5.0
K10947	1.0
K03979	3.0
K09697	3.0
K01524	0.0
K01488	2.0
K01489	10.0
K01890	7.0
K01520	4.0
K11063	5.0
K02967	30.0
K06976	1.0
K14665	0.0
K01480	2.0
K02963	23.0
K13820	12.0
K01664	5.0
K06901	7.0
K03569	34.0
K03568	1.0
K01662	3.0
K03565	0.0
K03564	8.0
K03496	51.0
K03740	6.0
K00762	8.0
K00763	10.0
K00760	6.0
K00761	9.0
K01462	9.0
K01463	2.0
K00764	7.0
K00765	0.0
K02227	1.0
K01259	14.0
K00768	23.0
K01704	0.0
K01703	0.0
K16203	3.0
K02863	17.0
K14761	10.0
K02860	1.0
K02867	20.0
K07447	4.0
K07444	4.0
K02864	32.0
K00645	6.0
K16926	0.0
K16923	19.0
K06346	17.0
K02040	4.0
K05540	4.0
K02226	9.0
K02049	0.0
K01933	5.0
K01273	2.0
K02810	0.0
K02388	20.0
K02389	19.0
K03701	2.0
K02387	34.0
K03589	0.0
K03702	5.0
K03705	6.0
K03704	106.0
K03310	19.0
K03706	9.0
K03499	5.0
K03437	1.0
K01963	6.0
K01962	5.0
K01961	5.0
K03315	1.0
K06153	3.0
K00648	4.0
K03571	1.0
K03495	7.0
K03497	23.0
K09903	7.0
K16898	1.0
K07742	6.0
K00003	1.0
K03797	3.0
K00001	5.0
K03588	5.0
K11200	0.0
K03111	29.0
K00161	0.0
K00009	1.0
K00008	1.0
K02547	1.0
K03406	4.0
K03407	4.0
K02469	5.0
K07067	8.0
K09758	0.0
K05967	16.0
K03408	1.0
K03816	5.0
K03367	4.0
K03810	1.0
